qSpecies_string,species_id,confidence
Ulmus propinqua,e99d3981-6757-51bd-a875-fd181697c182,1.00
Casurina stricta,85aec2c5-da57-5e8c-ab34-28ee23a2023a,1.00
Eucalyptus nicholii,a89facfc-e3d5-5588-b280-044b8b709d09,1.00
Griselinia littoralis,6e3b5aa1-2009-51be-b8a4-b90672a88138,1.00
Lagerstroemia indica 'Natchez',7803e77e-5e08-5010-8a17-51e4459e9432,0.90
Prunus serrulata 'Kwanzan',967ed14a-54ac-5a8d-a8b6-eeebcd89226b,0.90
Quercus macrocarpa,a9594485-e325-5e3f-beae-f73c05dc9da5,1.00
Salix babylonica,1fd5fc2f-f539-5c9a-a02c-19b6c0459199,1.00
Yucca,18d4244a-eab2-5eca-8d10-e48b03ccff6e,0.70
Zelkova serrata 'Village Green',607fcaca-3d71-53d6-8645-87c16b66dcb0,0.90
Acer grandidentatum 'Rocky Mountain Glow',87d9c600-7805-5b1f-a1f2-f2fa480c4437,0.90
Acer rubrum 'October Glory',a7b4dd43-4ccc-5bd6-8510-10ab3c6159db,0.90
Aesculus hippocastanum,d444c8e3-5244-514f-8bea-643628fa4519,1.00
Fraxinus velutina,a6c4b1ad-6ba0-59c9-b74e-076086240d35,1.00
Hibiscus syriacus,b506deb3-71a1-57f0-82c9-77bf8b53a6fc,1.00
Lagerstroemia indica 'Tuscarora',c8a6b3de-61b9-554f-b616-40befda3e29c,0.90
Populus,3c35b0de-7ecb-52d9-b433-f726a208dcf6,0.70
Xylosma congestum,8cbd8f4a-f5fe-56af-9abe-d69eb3016f43,1.00
Zelkova serrata ‘Wireless’,3d7bd658-20a4-57b1-8c3f-37ec7356d307,0.90
Crateagus lavallei,23d2f482-c686-5477-bb46-d74b121c47ba,1.00
Eucalyptus camaldulensis,6298b10a-c182-5611-8e06-552d2f3913a5,1.00
Eucalyptus melliodora,58221f1c-b57c-59cf-bf0f-e3ab433e1f1f,1.00
Pittosporum tobira,4924443c-0f77-5f5d-a88f-7020072f2900,1.00
Quercus palustris,1f46b39b-30b0-51a9-8f88-3916a1ef6af5,1.00
Rhus lancea,236b3bb6-a0d1-56ed-b29b-2b0d09fcf0e3,1.00
Acer platanoides 'Crimson King',9152bf7a-d4bc-5b11-bbe5-7acda4238be6,0.90
Arbutus ‘Marina’,a1f76d2c-1c10-507a-841d-3e8b93026dcc,0.60
