[probe] armed
[probe] z18 markers=184 frames=37 fps=35.8 p50=28.6ms p95=51.6ms worst=58.5ms dropped=42 gps=0 body=184 fetch=0
[probe] z18 markers=184 frames=42 fps=40.6 p50=16.7ms p95=47.8ms worst=53.5ms dropped=39 gps=0 body=193 fetch=0
[probe] z18 markers=184 frames=41 fps=40.2 p50=16.7ms p95=44.9ms worst=49.1ms dropped=40 gps=0 body=177 fetch=0
[probe] z18 markers=184 frames=44 fps=43.6 p50=16.7ms p95=36.0ms worst=47.6ms dropped=31 gps=0 body=199 fetch=0
[probe] z18 markers=184 frames=46 fps=45.9 p50=16.7ms p95=36.4ms worst=45.4ms dropped=28 gps=0 body=200 fetch=0
[probe] z18 markers=184 frames=48 fps=48.0 p50=16.7ms p95=35.5ms worst=36.2ms dropped=25 gps=0 body=206 fetch=0
[probe] z18 markers=184 frames=49 fps=48.3 p50=16.7ms p95=35.6ms worst=37.0ms dropped=29 gps=0 body=210 fetch=0
[probe] z18 markers=184 frames=48 fps=48.0 p50=16.7ms p95=35.8ms worst=37.1ms dropped=29 gps=0 body=206 fetch=0
[probe] z18 markers=184 frames=46 fps=46.0 p50=16.7ms p95=36.8ms worst=46.1ms dropped=30 gps=0 body=206 fetch=0
[probe] z18 markers=184 frames=47 fps=46.1 p50=16.7ms p95=35.9ms worst=36.9ms dropped=31 gps=0 body=201 fetch=0
