[probe] armed
[probe] z18 markers=194 frames=2 fps=1.3 p50=839.8ms p95=839.8ms worst=839.8ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=567.3ms p95=567.3ms worst=567.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=748.7ms p95=748.7ms worst=748.7ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=578.0ms p95=578.0ms worst=578.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=560.9ms p95=560.9ms worst=560.9ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=743.7ms p95=743.7ms worst=743.7ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=559.7ms p95=559.7ms worst=559.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=560.3ms p95=560.3ms worst=560.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=569.1ms p95=569.1ms worst=569.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=739.7ms p95=739.7ms worst=739.7ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=567.8ms p95=567.8ms worst=567.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=555.1ms p95=555.1ms worst=555.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=562.3ms p95=562.3ms worst=562.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=552.0ms p95=552.0ms worst=552.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=561.8ms p95=561.8ms worst=561.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=555.6ms p95=555.6ms worst=555.6ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=748.9ms p95=748.9ms worst=748.9ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=564.2ms p95=564.2ms worst=564.2ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=558.4ms p95=558.4ms worst=558.4ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=558.9ms p95=558.9ms worst=558.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=731.1ms p95=731.1ms worst=731.1ms dropped=1 gps=0 body=16 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=824.3ms p95=824.3ms worst=824.3ms dropped=1 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=731.1ms p95=731.1ms worst=731.1ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=568.7ms p95=568.7ms worst=568.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=594.5ms p95=594.5ms worst=594.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.7 p50=577.9ms p95=794.2ms worst=794.2ms dropped=2 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=872.4ms p95=872.4ms worst=872.4ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=730.7ms p95=730.7ms worst=730.7ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=739.9ms p95=739.9ms worst=739.9ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=846.5ms p95=846.5ms worst=846.5ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=745.9ms p95=745.9ms worst=745.9ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=560.2ms p95=560.2ms worst=560.2ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=834.3ms p95=834.3ms worst=834.3ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=3 fps=1.9 p50=556.4ms p95=666.5ms worst=666.5ms dropped=1 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=749.9ms p95=749.9ms worst=749.9ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=753.0ms p95=753.0ms worst=753.0ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=583.7ms p95=583.7ms worst=583.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.2 p50=838.3ms p95=838.3ms worst=838.3ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=574.3ms p95=574.3ms worst=574.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=853.8ms p95=853.8ms worst=853.8ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=778.5ms p95=778.5ms worst=778.5ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=830.8ms p95=830.8ms worst=830.8ms dropped=0 gps=0 body=17 fetch=0
