[probe] armed
[probe] z18 markers=194 frames=2 fps=1.4 p50=789.9ms p95=789.9ms worst=789.9ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=3 fps=1.8 p50=593.3ms p95=704.9ms worst=704.9ms dropped=1 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=810.6ms p95=810.6ms worst=810.6ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=654.8ms p95=654.8ms worst=654.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=620.0ms p95=620.0ms worst=620.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.2 p50=883.0ms p95=883.0ms worst=883.0ms dropped=0 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=817.9ms p95=817.9ms worst=817.9ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=644.8ms p95=644.8ms worst=644.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=682.9ms p95=682.9ms worst=682.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=634.8ms p95=634.8ms worst=634.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=664.7ms p95=664.7ms worst=664.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=693.5ms p95=693.5ms worst=693.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=602.9ms p95=602.9ms worst=602.9ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=806.2ms p95=806.2ms worst=806.2ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=622.7ms p95=622.7ms worst=622.7ms dropped=1 gps=0 body=10 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=810.4ms p95=810.4ms worst=810.4ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=613.9ms p95=613.9ms worst=613.9ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=746.6ms p95=746.6ms worst=746.6ms dropped=0 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=922.7ms p95=922.7ms worst=922.7ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=809.3ms p95=809.3ms worst=809.3ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=618.9ms p95=618.9ms worst=618.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=620.0ms p95=620.0ms worst=620.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=620.1ms p95=620.1ms worst=620.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=615.0ms p95=615.0ms worst=615.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=615.4ms p95=615.4ms worst=615.4ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=907.1ms p95=907.1ms worst=907.1ms dropped=1 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=821.8ms p95=821.8ms worst=821.8ms dropped=0 gps=0 body=16 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=712.1ms p95=712.1ms worst=712.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=925.0ms p95=925.0ms worst=925.0ms dropped=1 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=809.0ms p95=809.0ms worst=809.0ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=609.0ms p95=609.0ms worst=609.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=896.9ms p95=896.9ms worst=896.9ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=820.0ms p95=820.0ms worst=820.0ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=620.1ms p95=620.1ms worst=620.1ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=605.7ms p95=605.7ms worst=605.7ms dropped=0 gps=0 body=8 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=610.7ms p95=610.7ms worst=610.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=795.6ms p95=795.6ms worst=795.6ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=734.4ms p95=734.4ms worst=734.4ms dropped=0 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=904.5ms p95=904.5ms worst=904.5ms dropped=1 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.2 p50=906.7ms p95=906.7ms worst=906.7ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=615.2ms p95=615.2ms worst=615.2ms dropped=0 gps=0 body=12 fetch=0
